	6802	8468	10742	60961	91466	114850	115269	158692	164619	165549	234566	237332	432450	441905	441921	441922	441923	442827	1794427	3084742	5280372	5280378	5316860	5318565	6369123	6603787	9576780	9898279	12855889	12855925	24721085	53486398	71571502
1	26007	7068	340024	51719	133584	133584	133584	486	827	133584	145270	3275	486	486	486	486	486	140886	170591	6166	22899	83394	6166	9516	51531	7274	4153	486	486	486	133584	486	340024
2	117177	340024	8435	92797	27151	7447	1137	6523	566	27151	43	246329	6523	6523	6523	481	481	286827	7068	140886	6166	57605	140886	1312	279	23038	280	6523	6523	6523	1137	6523	8435
3	4860	6256	1352	5937	2925	1137	7447	481	347	2925	284217	9862	481	481	481	6523	6523	6166	6256	286827	140886	4620	286827	203062	2813	55827	22918	481	481	481	7447	481	6646
4	10881	1352	6646	5557	7447	79174	79174	476	2720	7447	1282	1834	476	476	476	7274	7274	56829	3275	56829	286827	10011	10240	339344	280	5090	5648	476	476	476	79174	476	1352
5	7019	3275	79746	54517	221914	84342	89832	4072	5885	221914	11016	85441	4072	4072	4072	5090	5090	10240	6166	10240	56829	340024	56829	340024	4153	158399	360203	4072	4072	4072	89832	4072	170591
6	114793	7067	64207	6036	2922	27151	2557	53822	11014	2922	8292	6256	7274	53822	7274	158399	158399	55037	1834	55037	10240	10240	22899	1352	90362	3501	6391	7274	53822	7274	58538	53822	404636
7	56882	154664	64756	1633	1137	2925	58538	290	22918	1137	3912	4616	5090	290	5090	140597	140597	23543	10240	23543	29079	140886	29079	147179	27030	23469	1208	5090	7274	5090	2557	290	1677
8	9727	57631	91647	2180	2191	221914	2898	7274	950	2191	133584	9857	158399	7274	158399	23469	23469	29079	140886	29079	23543	286827	55037	7068	5648	140597	94233	158399	5090	158399	2898	7274	51634
9	7053	6258	26154	6240	79174	2922	11197	5090	3920	79174	9421	441089	140597	5090	53822	3211	3211	135112	286827	22899	55037	6166	23543	154664	22918	5883	319	140597	158399	53822	2891	5090	728294
10	9771	8435	55904	50484	414062	11081	2891	158399	4153	414062	1137	10902	53822	158399	140597	254295	254295	124641	56829	124641	29931	56829	135112	8435	5406	3211	713	53822	140597	140597	11197	158399	4547
11	414060	9612	146850	22796	6367	2191	2901	23469	5657	6367	79174	30836	23469	140597	23469	476	476	9219	29079	135112	57541	55037	124641	3275	6769	254295	10747	23469	23469	23469	2901	140597	2713
12	27145	8648	55168	9465	89832	89832	3549	140597	10955	89832	89832	170591	3211	23469	3211	10966	10966	56945	9862	29028	85316	23543	29028	6166	23108	135458	538	3211	290	3211	3549	23469	55388
13	55107	1834	9262	94160	4283	414062	7637	152137	5648	4283	7447	116461	254295	3211	254295	4072	4072	64960	2273	29931	150135	29079	29931	730041	319	10966	4883	254295	3211	254295	7637	3211	5034
14	55276	9862	6256	6050	1803	6367	50846	26523	412	1803	1690	10069	290	254295	290	5087	5087	5042	55037	57541	219293	10498	57541	79797	9778	286495	5406	290	254295	290	50846	254295	9262
15	55561	4350	2312	5426	6373	2920	2900	5348	2629	6373	2557	1352	10966	10966	10966	140461	140461	84643	5956	85316	64806	135112	85316	4350	729495	140461	6392	10966	10966	10966	2558	10966	146850
16	64857	7840	55388	80700	6387	6387	2558	3211	10423	6387	1939	5042	5087	140461	5087	286495	286495	1834	22899	150135	5992	9219	150135	2312	6901	5087	30835	5087	140461	5087	2900	140461	54965
17	4983	9971	57631	3094	2557	4283	145270	254295	3384	2557	140838	64969	140461	286495	140461	3218	3218	140469	23543	219293	51373	9581	219293	10240	1208	3218	440567	140461	5087	140461	2555	286495	6286
18	53942	9705	152206	9061	2898	2557	2555	5318	9235	2898	58538	5465	286495	152137	286495	53822	53822	6192	4350	64806	64968	23116	64806	55037	94233	5799	27089	286495	286495	286495	2556	152137	7153
