36	42	41	36	19	19	25	15	15	19	27	37	20	14	20	20	20	32	39	33	36	42	35	37	21	19	16	20	20	20	25	14	39
12	16	15	9	15	15	12	19	30	15	14	17	14	15	14	14	14	9	16	10	12	13	11	14	20	24	23	14	14	14	13	15	12
24	20	19	20	28	28	22	20	29	28	21	19	16	17	16	16	16	12	19	12	14	17	13	16	22	26	29	16	16	16	22	17	15
18	14	13	14	23	23	20	16	23	23	20	12	12	13	12	12	12	8	13	9	10	11	10	13	17	20	24	12	12	12	20	13	10
14	26	25	12	33	33	26	32	35	33	24	18	26	28	26	27	27	18	25	19	21	22	20	22	28	43	31	26	26	26	26	28	20
15	27	26	12	32	32	25	33	35	32	23	18	28	30	28	28	28	19	26	20	22	24	22	23	30	43	32	28	27	28	25	30	21
13	35	33	14	23	22	35	12	11	23	33	28	21	12	21	22	22	32	34	31	36	35	35	34	20	15	14	21	21	21	33	12	30
22	25	23	19	27	27	34	18	24	27	34	24	21	15	21	22	22	16	23	16	19	21	18	21	30	24	25	21	21	21	34	15	18
20	25	24	17	21	21	31	17	23	21	37	23	23	14	24	24	24	16	23	17	20	21	20	22	32	22	22	23	23	24	31	14	19
7	11	10	5	12	13	11	14	19	12	13	8	9	10	9	9	9	5	9	6	7	8	7	10	13	20	15	9	9	9	12	10	7
21	21	20	18	32	32	24	22	32	32	23	19	17	18	17	18	18	12	19	13	15	18	14	17	24	32	32	17	17	17	24	18	16
21	13	14	17	22	22	19	19	27	22	18	14	14	15	14	15	15	10	15	11	12	14	12	13	20	25	27	14	14	14	19	15	13
16	11	11	13	19	19	17	14	19	19	18	10	10	11	10	10	10	7	11	7	8	9	8	11	14	17	21	10	10	10	18	11	8
13	14	13	11	13	15	12	19	29	13	12	16	14	15	14	14	14	10	16	10	12	10	11	13	20	21	27	14	14	14	14	15	10
38	41	40	38	21	22	25	17	14	21	27	33	21	15	21	21	21	33	40	34	37	37	36	37	22	20	18	21	21	21	25	15	36
23	52	50	19	23	23	31	21	17	23	33	40	26	18	26	27	27	35	48	34	38	49	37	43	24	29	17	26	26	26	31	18	43
21	21	20	18	34	34	27	24	28	34	28	16	19	20	19	20	20	13	19	14	15	18	15	18	21	31	28	19	19	19	28	20	16
20	18	18	16	30	30	25	21	26	30	25	14	17	18	17	17	17	12	17	12	14	15	13	16	19	27	26	17	17	17	25	18	13
21	21	20	18	34	34	27	24	28	34	27	16	19	20	19	20	20	13	19	14	15	18	15	18	21	31	28	19	19	19	28	20	16
18	46	45	16	18	18	23	16	10	18	22	48	20	15	20	21	21	41	44	39	40	51	39	43	19	19	13	20	21	20	23	15	47
37	37	36	40	18	18	24	15	16	18	27	31	21	15	21	21	21	34	36	35	38	36	38	36	23	15	18	21	21	21	24	15	33
38	40	39	38	21	21	26	18	14	21	27	32	21	16	21	21	21	33	39	34	37	37	36	37	22	19	18	21	21	21	26	16	35
